許可番号,区分,商号,代表者,郵便番号,市区町村,所在地,電話番号,資本金(千円),法人/個人,許可業種,特定,許可年月日,推定年数下限,業種分類,中南部
47012929,知事,（合）Ｓｅｎ,棚原 良裕,901-2204,宜野湾市,上原２－１４－１,098-8291-0969,1000,法人,大,,R030328,8,その他専門工事,1
47006234,知事,（株）全沖産業,佐渡山 聖,901-2131,浦添市,牧港５－６－８,098-876-4612,20000,法人,土建大左と石屋電管タ鋼筋舗し板ガ塗防内機絶具水解,1,R040322,28,建設業（総合）,1
47004925,知事,善功組,柴引 善功,904-2151,沖縄市,松本４－７－１２,098-937-3747,,個人,建大,,R040530,35,建設業（総合）,1
47014919,知事,（株）善幸建設,平良 真由美,904-0002,沖縄市,城前町５－８ １Ｆ,098-979-9901,2000,法人,建大と,,R050622,0,建設業（総合）,1
47011639,知事,閃光社,長田 益博,901-0302,糸満市,字潮平６３－５,098-992-5809,,個人,土と石電鋼舗し水,,R061120,12,建設業（総合）,1
47014079,知事,（株）全志建設,具志堅 智和,904-2223,うるま市,字具志川６４１－１,098-989-0947,1000,法人,大と,,R070731,5,その他専門工事,1
47001428,知事,（有）全勝組,島袋 一郎,905-0211,国頭郡本部町,字東４６７－９,0980-47-3449,41000,法人,土建大左と石屋管タ鋼筋舗し板ガ塗防内絶園具水解,1,R060606,35,建設業（総合）,
47015202,知事,（株）ゼンシン,前田 敏和,901-0334,糸満市,字大度３０９－２７,090-1519-0445,5000,法人,と解,,R060830,0,その他専門工事,1
47000509,知事,（株）善太郎組,翁長 恵子,901-0156,那覇市,字田原１９３,098-857-1023,33855,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R070526,35,建設業（総合）,1
47011992,知事,選電設（株）,島袋 正男,904-2162,沖縄市,海邦２－２－５,098-934-5751,23000,法人,電,1,R040422,12,電気・設備工事,1
47013985,知事,（株）セント,平田 誠,904-2231,うるま市,字塩屋２７０,080-6498-0635,5000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水,,R070525,5,建設業（総合）,1
47010252,知事,全也組,具志堅 善也,903-0128,中頭郡西原町,字森川９８－１,098-955-4151,,個人,建大と屋タ内,,R040208,15,建設業（総合）,1
47014112,知事,（株）善林堂,仲嶺 剛,901-2122,浦添市,勢理客１－１－６,098-878-6565,15000,法人,大左石屋タ板ガ塗防内絶具,,R070828,5,塗装・防水,1
47014343,知事,（株）ＳＯＩＬ,與古田 諒,904-2173,沖縄市,比屋根２－８－３１,098-931-1128,20000,法人,と,,R030528,5,その他専門工事,1
47013533,知事,ソイルワークス（株）,並木 敏郎,901-0155,那覇市,金城３－４－１４,098-996-2897,35000,法人,土と石鋼舗し塗水解,1,R050813,8,建設業（総合）,1
47013033,知事,（株）創,松本 奈美,901-2221,宜野湾市,伊佐３－３－７－６０１ フラワーキャッスル宜野湾,098-897-5127,2000,法人,建,,R030818,8,建設業（総合）,1
47007295,知事,（有）創永電気工業,與儀 永伸,904-0103,中頭郡北谷町,字桑江５８５－２７,098-936-6437,27800,法人,電消,1,R031003,28,電気・設備工事,1
47015378,知事,装苑,平田 優斗,901-0224,豊見城市,字与根２７０,080-8567-4232,,個人,大内,,R070620 R070905,0,内装工事,1
47013365,知事,（株）創機設,佐和田 達,906-0007,宮古島市,平良字東仲宗根５５５－１ １階,0980-79-0063,2000,法人,土と石管鋼舗し水,,R041205,8,建設業（総合）,
47005942,知事,創建（株）,森元 義和,904-2161,沖縄市,古謝３－２０－９,098-929-3311,10000,法人,土と石電管鋼舗し水消解,,R030819,35,建設業（総合）,1
47007495,知事,（有）双建,今出 輝重,902-0068,那覇市,真嘉比３－４－２６,098-885-0022,8000,法人,土建大と石屋タ鋼舗内水,,R030625,28,建設業（総合）,1
47010736,知事,（株）総検エンジニア,上地 聡,904-2155,沖縄市,美原２－１５－１,098-929-0727,6500,法人,機,,R061007,15,電気・設備工事,1
47006382,知事,（株）宗建設,仲宗根 初枝,906-0505,宮古島市,伊良部字国仲６４５－１,0980-78-3100,25000,法人,土建と石管舗し水解,1,R070724,28,建設業（総合）,
47012409,知事,綜建トラスト（株）,福田 憲一,904-2165,沖縄市,宮里４－３２－８,098-937-6186,8880,法人,建,,R051217,12,建設業（総合）,1
47006687,知事,総合インテリア マツヤ,松田 理,900-0014,那覇市,松尾１－１５－６,098-914-1192,,個人,内,,R031015,28,内装工事,1
47012374,知事,総合インテリア スペース,中谷 和則,901-2203,宜野湾市,野嵩１－１２－２,098-893-1313,,個人,内,,R051028,12,内装工事,1
47009754,知事,（有）総合計画,田本 進,907-0013,石垣市,浜崎町２－６－１１,0980-84-1126,5000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水,,R061124,20,建設業（総合）,
47008388,知事,（有）宗幸建設,濱比嘉 宗徳,904-1302,国頭郡宜野座村,字宜野座３８１－１,098-968-5402,30000,法人,土建と石管鋼舗し塗水,,R070519,20,建設業（総合）,
47008335,知事,（有）総合シークレット,久高 国光,906-0503,宮古島市,伊良部字伊良部１４３３,0980-78-5753,3000,法人,土建大左と石屋管タ鋼舗し板ガ塗防内絶具水,,R030909,20,建設業（総合）,
47012044,知事,総合設備優建,田場 繁春,904-2245,うるま市,字赤道３２８－３,098-973-9650,,個人,土と管鋼舗塗水,,R040116,12,建設業（総合）,1
47005410,知事,（株）総合土木,金城 佳孝,901-0361,糸満市,字糸満１９６１－１９,098-992-3900,40000,法人,土建大と石鋼舗し塗防内水解,1,R070313,35,建設業（総合）,1
47015286,知事,総合プラン（株）,山内 淳,900-0023,那覇市,楚辺２－３５－１４ 古波津商事ビル１階,090-9788-2936,1000,法人,土と石鋼舗し水解,,R070221,0,建設業（総合）,1
47014046,知事,総合包装（株）,川上 好永,903-0103,中頭郡西原町,字小那覇１１８１,098-946-5411,20000,法人,電管機,,R070710,5,電気・設備工事,1
47009676,知事,総合リフォーム（株）,上原 健裕,901-2225,宜野湾市,大謝名１－３－１５,098-898-6622,20000,法人,土建大左と石屋タ鋼筋舗板ガ塗防内絶具水解,1,R050508,20,建設業（総合）,1
47011382,知事,（有）創作室アンカーサー,川北 信一,901-2133,浦添市,城間２－１５－２ブルックハイム３０１,098-875-1104,3000,法人,内,,R050617,12,内装工事,1
47012075,知事,（株）ＳＯＵＳＩＮ ＨＯＭＥ,山本 照夫,904-0035,沖縄市,南桃原４－３１－４,098-923-0286,5000,法人,建大左と石屋タ鋼筋板ガ塗防内絶具,,R040425,12,建設業（総合）,1
47010884,知事,（有）創伸企画,上地 宏樹,903-0804,那覇市,首里石嶺町３－１３６－６,098-996-1552,3000,法人,建大と石屋タ鋼内,,R070830,15,建設業（総合）,1
47010066,知事,（株）創新工業,仲村渠 幸雄,901-2206,宜野湾市,愛知２－１５－１１,098-893-8561,48000,法人,電具,,R030507,15,電気・設備工事,1
47014094,知事,（株）創進コンクリート,知念 敏治,907-0003,石垣市,字平得７４１,0980-82-1830,29000,法人,土と舗,,R070814,5,建設業（総合）,
47010234,知事,（株）創設備,當山 みゆき,904-0203,中頭郡嘉手納町,字嘉手納３１２－１１,098-921-5508,10000,法人,土と石管舗水,,R070708,15,建設業（総合）,1
47011435,知事,（株）創造社,森根 清充,903-0804,那覇市,首里石嶺町２－９３－１３,098-887-4792,4000,法人,大左石屋タ板ガ塗防内絶具,,R030519,12,塗装・防水,1
47009190,知事,（有）創電通,宮平 仁,901-2225,宜野湾市,大謝名２－２７－３,098-898-1337,3000,法人,電通,,R060316,20,電気・設備工事,1
47010117,知事,（有）送友設備,知念 智則,901-1202,南城市,大里字大城１７９９－１,098-943-5313,4000,法人,管,,R030702,15,電気・設備工事,1
47009675,知事,（有）総販,玉城 一夫,904-0302,中頭郡読谷村,字喜名２１７－１,098-956-8164,8000,法人,土建大と石屋タ鋼舗し内水,,R050528,20,建設業（総合）,1
47012314,知事,（株）創木工所,大城 創玄,901-0306,糸満市,西崎町５－１０－１０,098-996-3797,2000,法人,内具,,R050701,12,内装工事,1
47012573,知事,（株）創和開発,伊佐 健,904-1112,うるま市,石川楚南３８７－１,098-989-6173,3000,法人,と,,R060901,12,その他専門工事,1
47015176,知事,（合）総和空設,満名 敦史,901-0153,那覇市,宇栄原１－５－８,098-995-9046,5000,法人,管,,R060802,0,電気・設備工事,1
47009006,知事,（有）総和工業,知念 辰幸,907-0024,石垣市,字新川２３７８－１,0980-82-0828,10000,法人,土と舗水,,R030724,20,建設業（総合）,
47010101,知事,（有）創和テクノ,儀間 朝常,901-1505,南城市,知念字久原６３－４,098-917-0455,5000,法人,土と石電管鋼舗水解,,R061219,15,建設業（総合）,1
47011173,知事,（株）添空調設備,添盛 恭充,901-0244,豊見城市,宜保２－５－８,098-894-8450,3990,法人,電管,,R040109,15,電気・設備工事,1
47004005,知事,（株）祖慶電設工業,平良 愛子,901-0152,那覇市,小禄３－１０－３,098-857-5724,21000,法人,土と石電舗水,1,R041216,35,建設業（総合）,1
47011935,知事,祖堅工業,祖堅 竜樹,904-2204,うるま市,字西原１９７－３,098-972-7883,,個人,具,,R030513,12,その他専門工事,1
47015002,知事,（株）ｓｏｔｏｒｉａ,大石 博智,905-1152,名護市,字伊差川２７９,0980-43-8092,5000,法人,建解,,R051102,0,建設業（総合）,
47005588,知事,（有）楚南海事,楚南 武晴,906-0005,宮古島市,平良字西原４２２－５,0980-72-0024,40000,法人,土建と石鋼舗し水,1,R031221,35,建設業（総合）,
47013286,知事,ソノエ工業（株）,又吉 聡,901-2417,中頭郡中城村,字伊集１３４－３,098-942-3936,3000,法人,板具,,R040823,8,その他専門工事,1
47013624,知事,大空木工,比嘉 恒弘,904-0304,中頭郡読谷村,字楚辺１９５３－２,098-956-9226,,個人,建内,,R060117,8,建設業（総合）,1
47012816,知事,（株）ソリューション琉球,金盛 勝文,902-0061,那覇市,古島１－９－１５,098-917-4530,3000,法人,電消,,R070821,12,電気・設備工事,1
47007857,知事,（株）ソルテック,福田 宜久,900-0002,那覇市,曙３－１８－２６,098-866-3411,30000,法人,土建大左と石屋管タ鋼筋舗し板ガ塗防内絶具水解,1,R040118,28,建設業（総合）,1
47014611,知事,（合）ソルテック沖縄,桃原 薫,905-0005,名護市,為又５２０－１ Ｙコーポラス１０２,0980-43-0290,700,法人,土と石鋼舗し水,,R040408,0,建設業（総合）,
47014288,知事,孫光（株）,名城 明広,902-0071,那覇市,繁多川１－１７－６ユートピア繁多川Ａ－１,098-894-6652,500,法人,土と石鋼舗し水解,,R030312,5,建設業（総合）,1
47010661,知事,（有）ターフメンテナンス・ヒガ,比嘉 斉,904-2143,沖縄市,知花５－１８－６,098-934-6060,3000,法人,土と石鋼舗し塗園水,,R060508,15,建設業（総合）,1
47010268,知事,（有）大,大濵 達也,907-0022,石垣市,字大川１４２５－８,0980-88-8380,10000,法人,土と石鋼舗し園水,,R040227,15,建設業（総合）,
47013183,知事,（株）第一アルミ建材,金城 隆紀,901-0404,島尻郡八重瀬町,字高良２５２－２,098-998-8421,5000,法人,建大屋タ内,,R040323,8,建設業（総合）,1
47011841,知事,（株）第一機行,大城 政敏,900-0033,那覇市,久米１－１６－１０,098-867-6408,20000,法人,管機,,R071007,12,電気・設備工事,1
47003532,知事,（株）第一建設,照屋 正明,901-0223,豊見城市,字翁長７５６－７,098-850-4075,30000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R030925,35,建設業（総合）,1
47013719,知事,（合）ダイイチ建設,喜屋武 一郎,904-0034,沖縄市,山内２－２６－６Ｂ－５,098-989-6192,5000,法人,大,,R030519,5,その他専門工事,1
47003734,知事,第一工業（株）,上里 幸春,904-2155,沖縄市,美原３－１８－１３,098-934-9801,66000,法人,電管通,1,R040222,35,電気・設備工事,1
47010944,知事,（株）第一三興建設,亀谷 善史,900-0015,那覇市,久茂地２－８－１－１階,098-917-6190,48000,法人,土と石鋼舗し塗水,1,R040718,15,建設業（総合）,1
47000720,知事,（資）第一設備,武村 健,902-0076,那覇市,与儀２－１２－２５,098-832-9617,30000,法人,土と石管鋼舗し機水,,R070206,35,建設業（総合）,1
47014341,知事,（株）第一設備,新垣 真一,904-2226,うるま市,字仲嶺６８６－１,098-989-0304,3000,法人,土と石管鋼舗し塗水解,,R030528,5,建設業（総合）,1
47008199,知事,（有）大市内装工業,大城 健市,901-2316,中頭郡北中城村,字安谷屋１３４８－１ジ・オーシャンハウスビル４Ｆ,098-935-4166,25000,法人,建大左と石屋タ鋼筋板ガ塗防内絶具解,1,R070704,20,建設業（総合）,1
47014270,知事,第一生コンクリート（株）,前盛 勝仁,907-0022,石垣市,字大川１５３６,0980-82-1021,18800,法人,と,,R030226,5,その他専門工事,
47010776,知事,第一農薬（株）,宮城 武人,904-2162,沖縄市,海邦町３－１１,098-934-1112,36600,法人,土と石鋼舗し水,,R070202,15,建設業（総合）,1
47011438,知事,第一リフォーム沖縄,友寄 隆治,902-0071,那覇市,繁多川４－８－３,098-836-5685,,個人,防,,R051106,12,塗装・防水,1
47015103,知事,（株）大栄,島袋 孝之,901-0305,糸満市,西崎１－７－１,098-992-1077,3000,法人,と,,R060405,0,その他専門工事,1
47005598,知事,（株）大永開発,新川 むつみ,902-0073,那覇市,字上間３８９－１,098-894-6720,23000,法人,土建と石鋼舗し塗水,,R030411 R060604,35,建設業（総合）,1
47005774,知事,（有）大栄開発,島尻 孝,906-0013,宮古島市,平良字下里１３２８－９,0980-72-3430,5000,法人,土と石管鋼舗し塗園水,,R070702,35,建設業（総合）,
47015066,知事,大栄組,金城 猛光,901-1304,島尻郡与那原町,字東浜７８－２ Ｃａｓａはなあい２０２,070-5697-8118,,個人,と,,R060216,0,その他専門工事,1
47007571,知事,（有）大永建設,當銘 幸和,907-0021,石垣市,字名蔵２４３－６０,0980-83-3041,8000,法人,土建と石鋼舗水,,R040112,28,建設業（総合）,
47003103,知事,大永建設工業（株）,大城 哲也,904-0204,中頭郡嘉手納町,字水釜３６２－１１,098-956-6492,36000,法人,土建大と石屋タ鋼舗内水解,1,R021224,35,建設業（総合）,1
47009511,知事,大栄工業,川満 美千子,906-0503,宮古島市,伊良部字伊良部６０,0980-78-4707,,個人,土と石鋼舗水,,R050925,20,建設業（総合）,
47011300,知事,（有）ダイエイ工業,真栄城 兼佑,904-0035,沖縄市,南桃原３－３５－１２,098-933-7832,3000,法人,土と石管鋼舗し塗水,,R041129,15,建設業（総合）,1
47003900,知事,（有）大栄土建,大城 由香,901-0315,糸満市,字照屋１２９９,098-994-6921,30000,法人,土と石鋼舗し塗水解,1,R040919,35,建設業（総合）,1
47010417,知事,（有）大栄物産,新里 幸吉,901-2101,浦添市,西原３－１－６,098-874-5665,8000,法人,内,,R041212,15,内装工事,1
47003061,知事,（有）大旺産業,新垣 詩織,904-0202,中頭郡嘉手納町,字屋良９５０－２,098-956-3437,20000,法人,土建と石舗内水解,,R030131,35,建設業（総合）,1
47014485,知事,（合）大沖工業,新里 一仁,904-2215,うるま市,みどり町４－１０－１グリーンライフＣ－１,098-987-8401,1000,法人,と,,R031008,0,その他専門工事,1
47008368,知事,タイガー産業（株）,島袋 盛義,904-2234,うるま市,字州崎１２－１１,098-982-1888,30000,法人,土建と石鋼舗水,,R050602,20,建設業（総合）,1
47013673,知事,（株）大海設備,伊吉 政樹,901-0512,島尻郡八重瀬町,字具志頭１１５８,098-851-3670,1000,法人,管,,R060509,8,電気・設備工事,1
47014318,知事,（合）大開発,新垣 利光,901-2225,宜野湾市,大謝名３－５－１７,098-975-7067,1000,法人,土解,,R030430,5,建設業（総合）,1
47007780,知事,（有）大我組,来間 重博,904-2241,うるま市,字兼箇段１５１７,098-989-3994,40000,法人,土建大と石屋タ鋼舗し塗内水解,1,R070512,28,建設業（総合）,1
47013375,知事,（株）タイカ工業,國頭 あゆみ,901-1403,南城市,佐敷字佐敷３５４番地,098-947-6235,5000,法人,土と管舗水,,R041221,8,建設業（総合）,1
47000553,知事,（株）大寛組,大濵 均,900-0034,那覇市,東町１６－９,098-868-1015,30000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R031207,35,建設業（総合）,1
000029013,大臣,（株）大輝,平良 正,901-0231,豊見城市,字我那覇４４５－１２,098-856-6482,20000,法人,土建大左と石屋電タ鋼筋舗板ガ塗防内絶通具水,1,R051121,,建設業（総合）,1
47012591,知事,（株）大気,玉寄 優,901-1414,南城市,佐敷字津波古２３８６－４（１階）,098-894-8220,3000,法人,管,,R061008,12,電気・設備工事,1
47009162,知事,（株）大輝,砂川 隆子,901-2214,宜野湾市,字我如古３７１－２,098-897-8939,10000,法人,土と石舗水解,,R051202,20,建設業（総合）,1
47012841,知事,（株）大貴,棚原 忠司,904-2233,うるま市,字豊原７５３－１,098-911-7588,5000,法人,建と解,,R071015,12,建設業（総合）,1
47013908,知事,（合）大喜技建,上門 喜秀,904-2171,沖縄市,高原６－１２－１４,098-933-3328,2200,法人,土建大と石屋タ鋼舗し内水解,,R051204,5,建設業（総合）,1
47005312,知事,（有）太基建設,瀬長 雄次,907-0024,石垣市,字新川２３７８－９,0980-83-3192,19000,法人,土建と石舗水,,R030920,35,建設業（総合）,
47009812,知事,（株）大樹建設,翁長 盛榮,901-2102,浦添市,前田１－１１－５－１０１,098-875-7069,21000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R070315,20,建設業（総合）,1
47012704,知事,（有）大起建設,平良 良子,901-0224,豊見城市,字与根７７－７,098-987-7133,5000,法人,土と石鋼舗水,,R070309,12,建設業（総合）,1
47003001,知事,（有）大喜建設,喜舎場 正,907-0023,石垣市,字石垣東嵩原７３２ー１,0980-83-2423,10000,法人,土建と石管鋼舗し水,,R070430,35,建設業（総合）,
47011770,知事,大樹興業,照屋 武三,901-2121,浦添市,内間５－６－１島マンション３０２号,098-875-4969,,個人,と,,R070611,12,その他専門工事,1
47001293,知事,（有）ダイキ産業,金城 純子,905-1631,名護市,字屋我３３番地,0980-52-8401,5000,法人,土と石管舗水,,R030516,35,建設業（総合）,
47014230,知事,タイキスチール工業,大城 秀喜,901-2312,中頭郡北中城村,字和仁屋２１２,090-1941-0041,,個人,内,,R021218,5,内装工事,1
47014367,知事,（有）大輝ホーム,平安座 唯輝,901-2215,宜野湾市,真栄原２－２－３,098-894-8345,3000,法人,建大屋タ内,,R030618,5,建設業（総合）,1
47005288,知事,（株）大協開発,大屋 聡,901-0302,糸満市,字潮平３４８－１,098-994-3371,21000,法人,土と石電管鋼舗し塗水解,1,R040428,35,建設業（総合）,1
47014882,知事,（株）大協技研,榎 繁智,901-0361,糸満市,糸満２４２５－５ ビビットハウス１０１,098-851-3548,1000,法人,通,,R050512,0,電気・設備工事,1
47014172,知事,大京組（株）,酒村 京,902-0063,那覇市,三原３－５－４０,098-855-9751,1000,法人,と,,R021016,5,その他専門工事,1
47000038,知事,（有）大協建設,宮城 亮,904-0323,中頭郡読谷村,字高志保１５０８－１,098-958-2910,31500,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R031005,35,建設業（総合）,1
47003129,知事,大鏡建設（株）,平良 修一,901-0152,那覇市,字小禄９１２－１,098-857-7117,20000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R030605,35,建設業（総合）,1
47011275,知事,大協建設,川満 広秋,906-0203,宮古島市,上野字宮国１５７０－２,0980-72-6900,,個人,土建と,,R040907,15,建設業（総合）,
47001872,知事,大協電気工事（株）,上村 勝,903-0802,那覇市,首里大名町３－１７－６,098-887-3951,20000,法人,電通,1,R040906,35,電気・設備工事,1
47006412,知事,（有）ダイキン,下地 金榮,906-0015,宮古島市,平良字久貝１０５２－１８,0980-72-4824,5000,法人,土建大と石タ鋼舗水,,R070725,28,建設業（総合）,
47008698,知事,ダイキンＨＶＡＣソリューション沖縄（株）,岸本 直也,901-0155,那覇市,金城５－３－４,098-859-4154,40000,法人,管,,R070830,20,電気・設備工事,1
47013618,知事,（資）大空,比嘉 泉,904-1111,うるま市,石川東恩納９５０－１,098-964-3980,10,法人,管,,R060109,8,電気・設備工事,1
47015169,知事,大工沖縄工房舎（合）,増井 清,905-0013,名護市,城１－１２－１６山里貸事務所１階,0980-43-1980,100,法人,建大屋タ鋼内,,R060719,0,建設業（総合）,
47009264,知事,（株）大慶産業,入川 重男,900-0002,那覇市,曙１－９－２２,098-866-3783,11200,法人,土と舗水,,R040711,20,建設業（総合）,1
47004205,知事,（有）太建開發,宮城 豊,902-0073,那覇市,字上間４２９－１,098-853-8318,10000,法人,土建大と石屋タ鋼舗し塗内水解,,R070615,35,建設業（総合）,1
47004996,知事,（有）大建興業,大宜見 司,905-1202,国頭郡東村,字宮城３０３－２,0980-43-2451,20000,法人,土建と石管鋼舗園水解,1,R040902 R071003,35,建設業（総合）,
47001462,知事,大源畳店,大城 源次,900-0003,那覇市,字安謝２５４,098-861-3524,,個人,内,,R030725,35,内装工事,1
47000780,知事,（有）Ｔａｉｋｏｕ,津波古 則志,901-2126,浦添市,宮城４－１－８－３０２号,098-877-2044,10000,法人,土建大と石屋タ鋼筋舗し塗内水,,R030531,35,建設業（総合）,1
47010442,知事,大宏インテリアサービス,下里 光宏,906-0007,宮古島市,平良字東仲宗根８９７－３,0980-73-7355,,個人,建内,,R050204,15,建設業（総合）,
47014576,知事,大光仮設,名嘉 淳,901-2121,浦添市,内間１－１３－７－２０３号,098-969-0273,,個人,と,,R040304,0,その他専門工事,1
47014086,知事,（株）大工業,崎原 大地,904-0106,中頭郡北谷町,字玉上２０５－１５,090-9786-0974,5000,法人,と,,R040701,5,その他専門工事,1
47000157,知事,（株）太閤建設,浦﨑 家三,900-0006,那覇市,おもろまち４－２０－１６,098-951-0885,20000,法人,土建大と石屋管タ鋼舗し塗内機水消解,1,R050430,35,建設業（総合）,1
47000304,知事,（株）大興建設,島袋 利貞,904-0204,中頭郡嘉手納町,字水釜３６４－２,098-956-5111,86000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶園具水解,1,R030709,35,建設業（総合）,1
47003067,知事,（有）大康建設,砂川 広行,906-0012,宮古島市,平良字西里１３３１－２１,0980-72-4443,20000,法人,土と石舗水,,R041211,35,建設業（総合）,
47011586,知事,（株）大興鋼業,澤＊ 努,903-0103,中頭郡西原町,字小那覇１４９１,098-944-0858,32000,法人,土と石鋼舗し塗水,1,R060824,12,建設業（総合）,1
47008018,知事,（有）大皓設備,大城 浩一,901-0213,豊見城市,字高嶺３６３－１,098-850-4828,25000,法人,土と石管鋼舗機水,1,R070212,20,建設業（総合）,1
47014366,知事,（株）大光総建,久場川 哲,901-0224,豊見城市,字与根１２８－３,098-850-8575,3000,法人,建,,R030618,5,建設業（総合）,1
47013783,知事,（合）大興電子設備,大川 功,901-2203,宜野湾市,野嵩１－９－１０,098-892-7668,1100,法人,通,,R050715,5,電気・設備工事,1
47004812,知事,（株）大幸電設,大城 幸也,902-0075,那覇市,字国場１１７６－２,098-853-7447,20000,法人,電消,1,R070328,35,電気・設備工事,1
47015124,知事,（株）大洸冷熱,渡慶次 大悟,901-2131,浦添市,牧港３－１７－６,098-943-6546,5000,法人,管,,R060510,0,電気・設備工事,1
47014839,知事,（株）大興業,＊安 光大,901-0234,豊見城市,字田頭１０３－２,098-850-8426,1000,法人,土建と石鋼筋舗し塗水,,R050310,0,建設業（総合）,1
47004097,知事,（株）大悟開發,大城 智幸,901-1204,南城市,大里字稲嶺１９０１－５,098-946-8747,40000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水,,R030209,35,建設業（総合）,1
47011594,知事,大悟建設（株）,与那覇 悟,906-0013,宮古島市,平良字下里１７５４－１,0980-73-0709,5000,法人,土建と石鋼舗し水,,R060902,12,建設業（総合）,
47014002,知事,（合）大悟建設,比嘉 悟,901-2226,宜野湾市,嘉数２－１－１４－１０２,098-960-7678,1000,法人,土と石鋼舗塗園水,,R070626,5,建設業（総合）,1
47009011,知事,（有）大三建装工業,砂川 博稔,904-0112,中頭郡北谷町,字浜川１６９－５,098-926-4062,10000,法人,土と石鋼舗水,,R040902,20,建設業（総合）,1
47006340,知事,（有）大三電設,大石 明日香,907-0003,石垣市,字平得３９９－７,0980-82-1764,25000,法人,土と石電管舗水,1,R041111,28,建設業（総合）,
47015363,知事,（株）大志,志村 恵次,901-2202,宜野湾市,普天間二ー３１－１１ 恵アパート２０１,098-963-5407,3000,法人,土建大と石屋タ鋼舗し塗内水,,R070530,0,建設業（総合）,1
47012442,知事,大資工業,亀濱 大資,904-1101,うるま市,石川東山本町１－３－１６,098-964-2353,,個人,と,,R060217,12,その他専門工事,1
47006939,知事,（株）大志土木,志喜屋 利正,907-0023,石垣市,字石垣４３０－１６,0980-83-0258,35000,法人,土建と石鋼舗し塗水,1,R031227,28,建設業（総合）,
47010572,知事,（株）大修建設,謝花 裕文,901-2133,浦添市,城間１－２９－７,098-874-2827,40000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,,R041104,15,建設業（総合）,1
47006600,知事,大樹環境開発（資）,棚原 茂樹,906-0013,宮古島市,平良字下里１１９０－３,0980-72-6836,3000,法人,土と石鋼舗し園水,,R030615,28,建設業（総合）,
47012222,知事,（株）大勝,饒平名 敏之,904-2172,沖縄市,泡瀬３－１６－２５,098-989-7917,5000,法人,筋,,R030910,12,その他専門工事,1
47014131,知事,大翔,金城 良祐,900-0005,那覇市,字天久１１６４－３,070-5278-9906,,個人,通,,R070918,5,電気・設備工事,1
47010401,知事,（株）大匠アーキプロ,與儀 裕司,900-0004,那覇市,字銘苅２６９－１,098-951-3821,35000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R030817,15,建設業（総合）,1
47008548,知事,（有）大翔建設,高良 泰地,905-0602,島尻郡伊是名村,字諸見５００３－１,0980-45-2357,21000,法人,土と石管鋼舗し水解,,R060205,20,建設業（総合）,
47012963,知事,（株）大一上建設,伊敷 操,901-0235,豊見城市,字名嘉地２５０ バイパスビル２０６号,098-851-9528,1000,法人,建大左と石屋タ鋼筋板ガ塗防内絶具,,R030506,8,建設業（総合）,1
47013272,知事,大翔工業（株）,砂川 正弘,906-0013,宮古島市,平良字下里１４７０－１２,0980-73-8088,1000,法人,建塗防,,R040802,8,建設業（総合）,
47014205,知事,大翔工業,比嘉 貴範,901-1207,南城市,大里字古堅７６２,098-946-4009,,個人,鋼,,R021127,5,その他専門工事,1
47014915,知事,（株）大奨興業,石川 奨士,902-0064,那覇市,寄宮１－６－１４ 石川アパート１０１,098-851-8550,2000,法人,建大屋タ内,,R050622,0,建設業（総合）,1
47009809,知事,（株）大翔電気,吉田 秀典,904-2234,うるま市,字州崎７－５,098-983-4722,3000,法人,電,,R070307,20,電気・設備工事,1
47009346,知事,（有）大翔電工,瀬名波 譲,905-2264,名護市,字三原３６０－２,0980-55-8475,10000,法人,土と石電鋼舗水,,R041120,20,建設業（総合）,
47013766,知事,（有）大将電設,新川 秀樹,903-0801,那覇市,首里末吉町２－９７,098-884-1081,5000,法人,電通,,R060830,5,電気・設備工事,1
47013440,知事,（株）大奨電設,屋嘉部 大輔,904-0411,国頭郡恩納村,字恩納６４９７,098-927-4899,1000,法人,電,,R050418,8,電気・設備工事,
47014964,知事,（株）大翔土建,本永 好人,901-2102,浦添市,前田３－１５９５－１,098-878-3004,3000,法人,土と石鋼舗し水解,,R050818,0,建設業（総合）,1
47006945,知事,（有）タイシン,羽地 大,906-0012,宮古島市,平良字西里１１１０,0980-79-5173,5000,法人,土建と石鋼舗水解,,R040905,28,建設業（総合）,
47014785,知事,大進,大城 良太,901-2131,浦添市,牧港１－５８－１４エルドールＭ４０２,098-988-4220,,個人,土建と石鋼舗し塗水,,R041202,0,建設業（総合）,1
